,name,pos,age,ai,Total_asists,Total_goals,Total_points,games,goals,asists,points,seasons,Mgames,Mshots,Mgoals,Masists,Mgame_coef,Minj
0,Alberts Timanovskis,C,23.0,277.0,17.0,9.0,26.0,135,6,18,24,6.0,22.5,19.0,1.0,3.0,-4.83,2.5
1,Andris Kraulis,W,20.0,197.0,6.0,2.0,8.0,10,2,1,3,4.0,3.33,3.0,0.67,0.33,-1.33,1.0
2,Atis Zilgalvis,W,24.0,328.0,9.0,29.0,38.0,194,59,15,74,7.0,27.71,58.14,8.43,2.14,-2.57,0.14
3,Bohuslav Kotrba,D,31.0,353.0,20.0,2.0,22.0,247,13,72,85,10.0,27.44,42.33,1.44,8.0,7.22,2.67
4,Cyrille Boulanger,W,29.0,383.0,8.0,16.0,24.0,52,15,9,24,2.0,26.0,39.5,7.5,4.5,0.5,0.0
5,Dennis Ivarsson,C,28.0,351.0,47.0,8.0,55.0,210,22,174,196,6.0,35.0,69.17,3.67,29.0,11.83,1.5
6,Dzidris Skrastiņš,D,23.0,284.0,10.0,1.0,11.0,90,0,6,6,7.0,12.86,9.29,0.0,0.86,-3.57,0.29
7,Edgars Miķelsons,D,25.0,309.0,9.0,1.0,10.0,161,2,8,10,7.0,23.0,12.71,0.29,1.14,-6.0,2.0
8,Edmunds Bambergs,D,20.0,196.0,3.0,4.0,7.0,26,0,0,0,4.0,6.5,4.5,0.0,0.0,-3.0,1.0
9,Ernests Beļavskis,W,27.0,360.0,10.0,13.0,23.0,26,8,8,16,1.0,26.0,53.0,8.0,8.0,5.0,0.0
10,Folmer Toft,W,28.0,337.0,2.0,30.0,32.0,66,37,8,45,2.0,33.0,95.0,18.5,4.0,14.0,5.5
11,Francis Taukulis,W,23.0,288.0,1.0,20.0,21.0,126,27,8,35,7.0,18.0,27.14,3.86,1.14,-1.14,1.29
12,Ilya Tonkonogov,D,28.0,388.0,20.0,4.0,24.0,210,8,83,91,6.0,35.0,57.17,1.33,13.83,4.83,1.33
13,Joshua Adams,C,28.0,372.0,26.0,14.0,40.0,205,36,57,93,6.0,34.17,58.83,6.0,9.5,5.0,2.33
14,Juris Norītis,D,22.0,261.0,19.0,0.0,19.0,86,0,19,19,4.0,21.5,20.25,0.0,4.75,0.75,1.75
15,Jurģis Nagrebis,C,23.0,280.0,13.0,7.0,20.0,125,9,16,25,6.0,20.83,22.33,1.5,2.67,-3.5,2.0
16,Karl LoBianco,C,30.0,357.0,8.0,1.0,9.0,21,1,7,8,1.0,21.0,29.0,1.0,7.0,-4.0,0.0
17,Leroy Sizemore,D,28.0,342.0,16.0,2.0,18.0,199,2,37,39,6.0,33.17,25.5,0.33,6.17,-1.17,2.17
18,Maigonis Ušackis,W,26.0,341.0,8.0,19.0,27.0,277,94,37,131,10.0,27.7,55.9,9.4,3.7,0.8,2.3
19,Mário Iván,D,29.0,345.0,16.0,5.0,21.0,208,17,61,78,6.0,34.67,51.83,2.83,10.17,4.33,2.0
20,Niks Silmacis,W,21.0,221.0,6.0,4.0,10.0,24,0,2,2,4.0,,,,,,
21,Osvalds Jākabsons,D,19.0,167.0,11.0,0.0,11.0,2,0,0,0,1.0,2.0,4.0,0.0,0.0,-3.0,0.0
22,Petr Pozhnikov,D,27.0,360.0,16.0,4.0,20.0,207,7,33,40,6.0,34.5,39.67,1.17,5.5,-0.83,1.83
23,Staņislavs Bullītis,W,23.0,271.0,7.0,12.0,19.0,94,14,4,18,4.0,23.5,24.5,3.5,1.0,-3.5,0.5
24,Uvis Vakseris,W,23.0,293.0,5.0,14.0,19.0,31,4,2,6,2.0,15.5,25.0,2.0,1.0,-0.5,0.0
25,Vasile Halip,W,30.0,396.0,11.0,17.0,28.0,300,109,61,170,10.0,30.0,62.8,10.9,6.1,-1.1,2.5
26,Vladimirs Znotiņš,C,23.0,294.0,12.0,9.0,21.0,103,11,10,21,7.0,14.71,21.29,1.57,1.43,-3.86,1.14
27,Kaspars Dinsberģis,,,,,,,52,0,0,0,2.0,26.0,0.0,0.0,0.0,0.0,1.5
