,name,Mgames,Mshots,Mgoals,Masists,Mgame_coef,Minj
0, Vladimirs Znotiņš  ,14.71,21.29,1.57,1.43,-3.86,1.14
1,Ernests Beļavskis,26.0,53.0,8.0,8.0,5.0,0.0
2, Edgars Miķelsons,23.0,12.71,0.29,1.14,-6.0,2.0
3, Atis Zilgalvis ,27.71,58.14,8.43,2.14,-2.57,0.14
4, Bohuslav Kotrba ,27.44,42.33,1.44,8.0,7.22,2.67
5,Francis Taukulis ,18.0,27.14,3.86,1.14,-1.14,1.29
6, Jurģis Nagrebis ,20.83,22.33,1.5,2.67,-3.5,2.0
7, Ilya Tonkonogov ,35.0,57.17,1.33,13.83,4.83,1.33
8, Juris Norītis ,21.5,20.25,0.0,4.75,0.75,1.75
9, Karl LoBianco ,21.0,29.0,1.0,7.0,-4.0,0.0
10, Kaspars Dinsberģis ,26.0,0.0,0.0,0.0,0.0,1.5
11, Vasile Halip ,30.0,62.8,10.9,6.1,-1.1,2.5
12, Maigonis Ušackis ,27.7,55.9,9.4,3.7,0.8,2.3
13, Leroy Sizemore ,33.17,25.5,0.33,6.17,-1.17,2.17
14, Joshua Adams ,34.17,58.83,6.0,9.5,5.0,2.33
15, Folmer Toft ,33.0,95.0,18.5,4.0,14.0,5.5
16, Staņislavs Bullītis ,23.5,24.5,3.5,1.0,-3.5,0.5
17, Uvis Vakseris ,15.5,25.0,2.0,1.0,-0.5,0.0
18, Mário Iván ,34.67,51.83,2.83,10.17,4.33,2.0
19, Andris Kraulis ,3.33,3.0,0.67,0.33,-1.33,1.0
20, Edmunds Bambergs ,6.5,4.5,0.0,0.0,-3.0,1.0
21, Petr Pozhnikov ,34.5,39.67,1.17,5.5,-0.83,1.83
22,Osvalds Jākabsons,2.0,4.0,0.0,0.0,-3.0,0.0
23, Cyrille Boulanger ,26.0,39.5,7.5,4.5,0.5,0.0
24, Dennis Ivarsson ,35.0,69.17,3.67,29.0,11.83,1.5
25, Dzidris Skrastiņš ,12.86,9.29,0.0,0.86,-3.57,0.29
26, Alberts Timanovskis ,22.5,19.0,1.0,3.0,-4.83,2.5
